авторитет	3.2333333333333334	2.955555555555556	2.844444444444445
амбиция	3.111111111111111	3.4444444444444446	3.333333333333333
апостол	3.494117647058824	3.426966292134832	3.4235294117647057
благодарность	3.2333333333333334	3.566666666666667	3.655555555555555
блин	3.213483146067416	1.6629213483146068	2.577777777777778
блондин	3.9444444444444446	3.922222222222222	3.955555555555556
брат	3.224719101123596	3.01123595505618	3.2777777777777777
бригада	2.8	2.7191011235955056	3.0898876404494384
веер	2.550561797752809	2.433333333333333	2.4444444444444446
век	3.2	3.213483146067416	2.988372093023256
вызов	2.1777777777777776	2.1	2.033333333333333
головка	2.2045454545454546	1.6777777777777778	2.191011235955056
грех	3.488888888888889	2.988888888888889	2.922222222222222
дух	2.3222222222222224	1.6333333333333333	1.8888888888888888
дядька	2.5930232558139537	3.033707865168539	2.6853932584269664
дядя	3.3777777777777778	3.395348837209302	3.2988505747126435
железо	2.2	2.569767441860465	2.4022988505747125
жесть	3.235955056179775	3.388888888888889	3.411111111111111
живот	2.911111111111111	3.4444444444444446	2.763440860215054
заблуждение	3.5	3.6222222222222222	3.555555555555556
